date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:27	321/321	---MCZ	200	added ('OK')	text/plain	date:Wed,%2015%20Feb%202023%2016:30:26%20GMT	https://f1genz-furniture-2.myharavan.com/robots.txt		(from )
23:30:29	630956/630956	---MCZ	200	added ('OK')	text/html	etag:W/%229ee74da33ea541ad8cc3b11767ae5cb3%22	https://f1genz-furniture-2.myharavan.com/	C:/project/funis/f1genz-furniture-2.myharavan.com/index.html	(from )
23:30:31	1314/1314	---M--	200	added ('OK')	image/png	etag:%221591ec2de54f8508c6bee440dcb45f8b%22	http://theme.hstatic.net/200000584705/1000969925/14/favicon.png?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/favicon8eb1.png	(from https://f1genz-furniture-2.myharavan.com/)
23:30:31	8570/8570	---M--	200	added ('OK')	image/png	etag:%22e0757b583c73fadb7e5c9b5d3df7a479%22	http://theme.hstatic.net/200000584705/1000969925/14/shop_logo_image_medium.png?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/shop_logo_image_medium8eb1.png	(from https://f1genz-furniture-2.myharavan.com/)
23:30:31	118523/118523	---MCZ	200	added ('OK')	text/css	etag:W/%229b01f74bece2dd5aa68608bfc843ed8c%22	http://theme.hstatic.net/200000584705/1000969925/14/main.scss.css?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/main.scss8eb1.css	(from https://f1genz-furniture-2.myharavan.com/)
23:30:32	35228/35228	---MCZ	200	added ('OK')	text/css	etag:W/%22f0005fcf68585e44353a2e86cf1b2774%22	http://theme.hstatic.net/200000584705/1000969925/14/index.scss.css?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/index.scss8eb1.css	(from https://f1genz-furniture-2.myharavan.com/)
23:30:36	25465/25465	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d91aa8b0f7b7f9%22	https://stats.hstatic.net/beacon.min.js	C:/project/funis/stats.hstatic.net/beacon.min.js	(from https://f1genz-furniture-2.myharavan.com/)
23:30:38	173535/173535	---MCZ	200	added ('OK')	text/css	etag:W/%2219b1bef9a0e8a313196f7efb9637fd77%22	http://theme.hstatic.net/200000584705/1000969925/14/plugin.css?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/plugin8eb1.css	(from https://f1genz-furniture-2.myharavan.com/)
23:30:39	15600/15600	---MCZ	200	added ('OK')	text/css	etag:W/%2259a8886854e5d8b6d4ba93c0b9afd1da%22	http://theme.hstatic.net/200000584705/1000969925/14/fancy.css?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/fancy8eb1.css	(from https://f1genz-furniture-2.myharavan.com/)
23:30:42	127222/127222	---MCZ	200	added ('OK')	text/html	etag:W/%2227c36afe045147f2a4fd615255f92a7a%22	https://f1genz-furniture-2.myharavan.com/collections/den-de-ban	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/den-de-ban.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:45	120840/120840	---MCZ	200	added ('OK')	text/html	etag:W/%227463f6aed4ce4ebcb4efb065bdd3e3c1%22	https://f1genz-furniture-2.myharavan.com/collections/tu-quan-ao	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/tu-quan-ao.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:46	75988/75988	---M--	200	added ('OK')	image/png	etag:%2218fb905ee8fd6f7c510e423a8e9c7635%22	http://theme.hstatic.net/200000584705/1000969925/14/home_slider_item_image_mob_1_large.png?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/home_slider_item_image_mob_1_large8eb1.png	(from https://f1genz-furniture-2.myharavan.com/)
23:30:48	112478/112478	---MCZ	200	added ('OK')	text/html	etag:W/%221a23cacb5ec04928bea8f4cde34b494b%22	https://f1genz-furniture-2.myharavan.com/collections/ke-treo-tuong	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/ke-treo-tuong.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:49	148991/148991	---MCZ	200	added ('OK')	text/html	etag:W/%22bff1080426a244f48721c97436169e94%22	https://f1genz-furniture-2.myharavan.com/collections/ghe-an	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/ghe-an.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:50	110695/110695	---MCZ	200	added ('OK')	text/html	etag:W/%221abcc80457164f609bff3265504a5e38%22	https://f1genz-furniture-2.myharavan.com/collections/gia-treo	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/gia-treo.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:53	127867/127867	---MCZ	200	added ('OK')	text/html	etag:W/%222d4d666deded4f1da7bc29f116bcea6a%22	https://f1genz-furniture-2.myharavan.com/collections/ban-an	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/ban-an.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:54	233964/233964	---MCZ	200	added ('OK')	text/html	etag:W/%22a23b58417ecd4a48a6aee7363571b0d0%22	https://f1genz-furniture-2.myharavan.com/collections/tat-ca-san-pham	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/tat-ca-san-pham.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:56	160370/160370	---M--	200	added ('OK')	image/png	etag:%22a3ea1e7613d798430e83b27eb6d9f7bd%22	http://theme.hstatic.net/200000584705/1000969925/14/home_slider_item_image_1.png?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/home_slider_item_image_18eb1.png	(from https://f1genz-furniture-2.myharavan.com/)
23:30:56	233081/233081	---MCZ	200	added ('OK')	text/html	etag:W/%22779d3cd636ca4e1483c3bd0565794e59%22	https://f1genz-furniture-2.myharavan.com/collections/all	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/all.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:56	135473/135473	---M--	200	added ('OK')	image/png	etag:%22b86727acc490229e4b2b0317dce1d301%22	http://theme.hstatic.net/200000584705/1000969925/14/home_slider_item_image_mob_1.png?v=2483	C:/project/funis/theme.hstatic.net/200000584705/1000969925/14/home_slider_item_image_mob_18eb1.png	(from https://f1genz-furniture-2.myharavan.com/)
23:30:56	233201/233201	---MCZ	200	added ('OK')	text/html	etag:W/%222f69a527ea054eca80255fbc8fa04c88%22	https://f1genz-furniture-2.myharavan.com/collections/all?view=vertical	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/allfc2c.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:57	233213/233213	---MCZ	200	added ('OK')	text/html	etag:W/%2268512248c4f0459486d1aa7e85d8ff8e%22	https://f1genz-furniture-2.myharavan.com/collections/all?view=horizontal	C:/project/funis/f1genz-furniture-2.myharavan.com/collections/allc267.html	(from https://f1genz-furniture-2.myharavan.com/)
23:30:57	236843/236843	---MCZ	200	added ('OK')	text/html	etag:W/%22e7102d516bae4d84913ae9d24a920d2b%22	https://f1genz-furniture-2.myharavan.com/products/tu-quan-ao-3-cua-f1genz-cao-cap	C:/project/funis/f1genz-furniture-2.myharavan.com/products/tu-quan-ao-3-cua-f1genz-cao-cap.html	(from https://f1genz-furniture-2.myharavan.com/)
